!  word OK
#  word OK
#>  word OK
#S  word OK
D0=  word OK
D0<  word OK
D.  word OK
D<  word OK
D>S  word OK
M+  word OK
M*/  word OK
2CONSTANT  word OK
2LITERAL  word OK
2ROT  word OK
2VALUE  word OK
2VARIABLE  word OK
  double words total 23   double words missing 0 
AT-XY  word missing
BEGIN-STRUCTURE  word OK
CFIELD:  word OK
EKEY  word missing
EKEY?  word missing
EKEY>CHAR  word missing
EKEY>FKEY  word missing
EMIT?  word missing
END-STRUCTURE  word OK
FIELD:  word OK
K-ALT-MASK  word missing
K-CTRL-MASK  word missing
K-DELETE  word missing
K-DOWN  word missing
K-END  word missing
K-F3  word missing
K-F4  word missing
K-F5  word missing
K-F6  word missing
K-F7  word missing
K-F8  word missing
K-F9  word missing
K-F1  word missing
K-F11  word missing
K-F12  word missing
K-F10  word missing
K-F2  word missing
K-HOME  word missing
K-INSERT  word missing
K-LEFT  word missing
K-NEXT  word missing
K-PRIOR  word missing
K-RIGHT  word missing
K-SHIFT-MASK  word missing
K-UP  word missing
KEY?  word OK
MS  word OK
PAGE  word missing
+FIELD  word OK
TIME&DATE  word OK
  facility words total 40   facility words missing 32 
BIN  word OK
CLOSE-FILE  word OK
CREATE-FILE  word OK
DELETE-FILE  word OK
FILE-POSITION  word OK
FILE-SIZE  word OK
FILE-STATUS  word OK
FLUSH-FILE  word OK
INCLUDE-FILE  word OK
INCLUDE  word OK
INCLUDED  word OK
OPEN-FILE  word OK
R/O  word OK
R/W  word OK
READ-FILE  word OK
READ-LINE  word OK
REFILL  word OK
RENAME-FILE  word OK
REPOSITION-FILE  word OK
REQUIRE  word OK
REQUIRED  word OK
RESIZE-FILE  word OK
SOURCE-ID  word OK
S\"  word OK
S"  word OK
W/O  word OK
WRITE-FILE  word OK
WRITE-LINE  word OK
(  word OK
  file words total 29   file words missing 0 
(LOCAL)  word OK
LOCALS|  word OK
{:  word OK
  locals words total 3   locals words missing 0 
ALLOCATE  word OK
FREE  word OK
RESIZE  word OK
  memory words total 3   memory words missing 0 
ALSO  word OK
DEFINITIONS  word OK
FIND  word OK
FORTH-WORDLIST  word OK
FORTH  word OK
GET-CURRENT  word OK
GET-ORDER  word OK
ONLY  word OK
ORDER  word OK
PREVIOUS  word OK
SEARCH-WORDLIST  word OK
SET-CURRENT  word OK
SET-ORDER  word OK
WORDLIST  word OK
  search words total 14   search words missing 0 
BLANK  word OK
CMOVE  word OK
CMOVE>  word OK
COMPARE  word OK
/STRING  word OK
-TRAILING  word OK
REPLACES  word OK
SEARCH  word OK
SLITERAL  word OK
SUBSTITUTE  word OK
UNESCAPE  word OK
  string words total 11   string words missing 0 



  core words total 133 core words missing 0 
  coreext words total 49 coreext words missing 1 
  block words total 14   block words missing 0 
  double words total 23   double words missing 0 
  exceptions words total 4 exceptions words missing 0 
  facility words total 40   facility words missing 32 
  file words total 29   file words missing 0 
  float words total 79   float words missing 0 
  locals words total 3   locals words missing 0 
  memory words total 3   memory words missing 0 
  search words total 14   search words missing 0 
  string words total 11   string words missing 0 
  tools words total 27   tools words missing 3 
  xchar words total 21   xchar words missing 2 

